#;nome-taxon;autoria;ano;ordem;subordem;infraordem;parvordem;superfamilia;familia;subfamilia;genero;especie;nome_vernaculo
3109;Synallaxis sp.;;1997;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Synallaxis;sp.;joão-do-norte
3107;Synallaxis albilora;Pelzeln;1856;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Synallaxis;albilora;joão-do-pantanal
3072;Cranioleuca demissa;Salvin & Godman;1884;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Cranioleuca;demissa;joão-do-tepui
3076;Cranioleuca muelleri;Hellmayr;1911;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Cranioleuca;muelleri;joão-escamoso
3113;Synallaxis macconnelli;Chubb;1919;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Synallaxis;macconnelli;joão-escuro
3048;Metopothrix aurantiaca;Sclater & Salvin;1866;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Metopothrix;aurantiaca;joão-folheiro
3116;Synallaxis hypospodia;Sclater;1874;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Synallaxis;hypospodia;joão-grilo
3055;Thripophaga fusciceps;Sclater;1889;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Thripophaga;fusciceps;joão-liso
3075;Cranioleuca gutturata;d'Orbigny & Lafresnaye;1838;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Cranioleuca;gutturata;joão-pintado
4366;Icterus croconotus;Wagler;1829;Passeriformes;Passeri;;Passerida;;Icteridae;Icterinae;Icterus;croconotus;joão-pinto
4378;Icterus nigrogularis;Hahn;1819;Passeriformes;Passeri;;Passerida;;Icteridae;Icterinae;Icterus;nigrogularis;joão-pinto-amarelo
